key,Series 1,Series 2,Series 3,Series 4
1025409600000,0,0,0,-7.0674410639
1028088000000,-6.338218514,0,-6.338218514,-14.663359293
1030766400000,-5.9507873461,0,-5.9507873461,-14.1043930605
1033358400000,-11.5691469438,0,-11.5691469438,-23.1144770372
1036040400000,-5.4767332317,0,-5.4767332317,-16.7742566878
1038632400000,0.507946822,0,0.507946822,-11.902028464
1041310800000,-5.5310285461,0,-5.5310285461,-16.8830386684
1043989200000,-5.7838296963,0,-5.7838296963,-19.1042236768
1046408400000,-7.3249341616,0,-7.3249341616,-20.4205232827
1049086800000,-6.7078630712,0,-6.7078630712,-19.6605550516
1051675200000,0.4422712615,0,0.4422712615,-13.1069112316
1054353600000,7.2481659343,0,7.2481659343,-8.2448460302
1056945600000,9.2512381307,0,9.2512381307,-7.0313058731
1059624000000,11.3412109825,0,11.3412109825,-5.14851187
1062302400000,14.734820409,0,14.734820409,-3.0011028761
1064894400000,12.3871480075,0,12.3871480075,-4.1367265281
1067576400000,18.4364714618,0,18.4364714618,1.5425209565
1070168400000,19.830742267,0,19.830742267,2.7673533607
1072846800000,22.6432058299,0,22.6432058299,7.7077114755
1075525200000,26.7431567812,-0.0491842669,26.6939725144,9.7565015112
1078030800000,29.5974788022,-0.1075756949,29.4899031073,11.3968886095
1080709200000,30.8316975853,-0.0756015313,30.756096054,10.0139647456
1083297600000,28.0540680247,-0.061245278,27.9928227467,8.0558890951
1085976000000,29.2940794238,-0.0682273164,29.2258521074,9.6081966657
1088568000000,30.2692640613,-0.1124275806,30.1568364807,11.9185904264
1091246400000,24.9345268989,-0.0748484394,24.8596784595,7.9945345524
1093924800000,24.2659827594,-0.1146562368,24.1513265226,8.3201276777
1096516800000,27.2177948975,-0.2437063334,26.974088564,9.8283954846
1099195200000,30.8026019921,-0.2152326848,30.5873693073,11.5271258597
1101790800000,36.3310037583,-0.3785937091,35.9524100491,16.4136575965
1104469200000,43.1424987001,-0.4193288435,42.7231698566,20.3937982979
1107147600000,40.558263932,-0.4539373598,40.1043265721,17.4563084139
1109566800000,42.5436223858,-0.5086817952,42.0349405906,20.087778401
1112245200000,41.6835847103,-0.4816439688,41.2019407415,17.9883369908
1114833600000,36.3753673023,-0.4160596289,35.9593076735,15.3784901513
1117512000000,40.7196889807,-0.4849034849,40.2347854958,19.4743229357
1120104000000,43.8979630369,-0.550710361,43.3472526759,20.0138510704
1122782400000,49.7970339754,-0.6748917051,49.1221422703,24.749943727
1125460800000,47.085993936,-0.7497807094,46.3362132266,23.5587102748
1128052800000,46.6019728597,-0.8639505075,45.7380223523,24.5589150409
1130734800000,41.5677845728,-0.7852489851,40.7825355877,22.355860488
1133326800000,47.2969237372,-0.9980044095,46.2989193277,27.1380262658
1136005200000,47.6429696121,-1.1177951154,46.5251744967,27.2022208086
1138683600000,50.781515821,-1.4119975433,49.3695182777,31.219437345
1141102800000,52.6002292043,-1.2409959736,51.3592332307,31.3923555251
1143781200000,55.5996844906,-1.3088936375,54.2907908531,33.3730992325
1146369600000,57.9203884366,-1.549578547,56.3708098897,35.0952775823
1149048000000,53.503593219,-1.1563414981,52.3472517208,30.9233565076
1151640000000,53.52297398,-0.8719247173,52.6510492627,31.0837173326
1154318400000,49.8468222985,-0.8407399518,49.0060823467,31.2906906716
1156996800000,54.7213416147,-0.8876189287,53.833722686,34.2477692167
1159588800000,58.1862362232,-0.8174851392,57.368751084,37.4110731776
1162270800000,63.908065541,-1.2874081041,62.6206574369,42.0791770964
1164862800000,69.7672851294,-1.9234702981,67.8438148312,44.9781916596
1167541200000,72.5340133736,-1.8377768148,70.6962365588,46.7132710253
1170219600000,77.9918194366,-2.7107654032,75.2810540334,49.2038924377
1172638800000,78.143584405,-2.6493268125,75.4942575924,46.6847234718
1175313600000,83.7023986652,-3.0814553135,80.6209433518,48.3854589735
1177905600000,91.1408593124,-3.8509837784,87.2898755341,54.6601978403
1180584000000,98.590960607,-5.2919167851,93.299043822,60.3118384156
1183176000000,96.2456347542,-5.2297750651,91.0158596892,57.5832822047
1185854400000,92.3263644326,-3.9335668501,88.3927975825,52.4253988988
1188532800000,97.0687653322,-2.369552519,94.6992128132,54.663538087
1191124800000,105.8102555626,-2.3084243152,103.5018312474,60.1818443252
1193803200000,114.3834877779,-3.0753680727,111.3081197052,62.8772197736
1196398800000,103.5960494981,-2.2346609939,101.3613885042,55.760611513
1199077200000,101.7248842931,-3.0598810362,98.6650032569,54.7352803678
1201755600000,89.840147735,-1.841015427,87.999132308,45.4959129595
1204261200000,86.9635975327,-1.6479442039,85.3156533288,40.9349190159
1206936000000,84.0755052085,-1.9293858623,82.1461193462,40.3037776332
1209528000000,93.1701056458,-3.0769590461,90.0931465997,47.4037403688
1212206400000,103.6283808312,-4.2423933501,99.3859874811,49.9519608988
1214798400000,87.4582413651,-2.6951491618,84.7630922033,37.5345900351
1217476800000,85.8083741413,-2.898182594,82.9101915473,36.4057582933
1220155200000,93.1580544692,-2.966272794,90.1917816752,38.5453730019
1222747200000,65.9732523824,0.215567505,66.1888198873,26.1063586645
1225425600000,44.5806866382,2.6784995167,47.2591861549,4.2658006769
1228021200000,36.4189771401,4.1296711249,40.548648265,-3.5517839868
1230699600000,38.7276781448,3.7311068219,42.4587849666,-2.0878920762
1233378000000,36.6926741734,4.7695330867,41.4622072601,-10.4088790938
1235797200000,30.0330228095,5.1919133041,35.2249361136,-19.924242196
1238472000000,36.7075321627,4.1025856046,40.8101177673,-12.9064919128
1241064000000,52.1914576884,2.8498939666,55.041351655,-3.9774866468
1243742400000,56.3578839797,2.8106017223,59.168485702,1.0319171601
1246334400000,57.6290021803,2.845652667,60.4746548473,1.3109350358
1249012800000,66.6509857902,0.6556307075,67.3066164977,9.1668309062
1251691200000,70.8392434322,-0.3002234387,70.5390199934,13.121178986
1254283200000,78.7319984915,-1.1600358229,77.5719626686,17.5786802375
1256961600000,72.3755285403,-0.2667440884,72.108784452,14.9712943551
1259557200000,81.7383878816,-1.4693389758,80.2690489058,21.5513270273
1262235600000,87.5397923942,-2.7855421591,84.7542502352,24.5923284238
1264914000000,84.3207626623,-1.2668244066,83.0539382557,20.1580878296
1267333200000,90.6212783919,-2.5537804116,88.0674979803,24.1356619292
1270008000000,102.4714488165,-4.9144552475,97.5569935691,31.8152054059
1272600000000,102.7932035343,-6.0484408235,96.7447627108,34.3895247685
1275278400000,90.5297360505,-3.3834349034,87.1463011471,23.7855558575
1277870400000,76.5808599945,-0.4675282693,76.1133317252,17.0827566491
1280548800000,86.548979377,-1.8030186028,84.7459607742,25.2480077271
1283227200000,81.8796533341,-0.996232301,80.8834210331,19.4151790692
1285819200000,101.7255001596,-3.3475370236,98.377963136,30.4136363493
1288497600000,107.9796485226,-3.818702652,104.1609458706,35.3579529646
1291093200000,106.1624063079,-4.235414625,101.9269916828,35.8864135359
1293771600000,114.8426859953,-5.6795404293,109.163145566,45.003601952
1296450000000,121.6079332228,-6.2928665328,115.31506669,48.274893564
1298869200000,133.4143734661,-6.8549277434,126.5594457226,53.5628649146
1301544000000,125.466460429,-6.9925308361,118.473929593,54.1082743374
1304136000000,129.767849543,-8.3216548656,121.4461946774,58.6181901119
1306814400000,128.1579886104,-7.7682867271,120.3897018833,56.8067939656
1309406400000,121.9238870607,-6.9244213301,114.9994657306,54.135477253
1312084800000,116.7003610087,-5.7407624451,110.9595985636,50.7352589424
1314763200000,88.367701837,-2.1813149078,86.1863869292,42.2081709458
1317355200000,59.1596657657,2.9407596326,62.1004253983,31.6179168267
1320033600000,79.7935681398,-1.1130607112,78.6805074285,46.4920050067
1322629200000,75.9038340284,-2.0274822308,73.8763517976,46.2031169221
1325307600000,72.7042182092,-1.8372559072,70.8669623019,47.5414276431
1327986000000,84.9369908041,-4.0732815531,80.863709251,54.518998441
1330491600000,93.3881486707,-6.441703847,86.9464448237,61.0997202347
